id,location,weapon,time,description,crime_type,latitude,longitude
CR018,"Kunzer, Baramulla",none,day,"A mentally challenged 16-year-old girl in Kunzer (Baramulla) was repeatedly raped by multiple men, resulting in pregnancy; 3 suspects were arrested in Jan 2025",rape,34.0829324,74.5002436
CR019,Srinagar,none,day,"J&K Cyber Police busted a mule bank account network used for online fraud (Jan–Apr 2025); ~7,200 accounts were identified and 21 people arrested",cybercrime,34.0747444,74.8204443
CR020,Domana (Jammu),sharp-edged weapon,day,23-year-old Mukesh Kumar was killed by his younger brother Anil Kumar with a sharp-edged weapon during a domestic dispute,murder,32.790645,74.7820729
CR021,Shakti Nagar (Jammu),"baseball bats, lathis",day,"Elderly Madan Lal was assaulted by four men using baseball bats and lathis, then thrown from his rooftop; he later died of injuries",murder,32.7386273,74.8355588
CR022,Greater Kailash (Jammu),firearms (armed robbers),day,"Two armed men on a motorcycle held up a jewellery showroom, took the owner hostage and decamped with 1.5 kg of gold in broad daylight",robbery,32.6742207,74.8902864
CR023,Jammu city (Jammu),– (forced entry),day,"Thieves forced open the shutter of a shop in Jammu and stole ?50,000 from the cash drawer",theft,32.7185614,74.8580917
CR024,Dachan (Kishtwar),– (break-in),day,Unknown assailants broke into the J&K Bank branch in Dachan and looted approximately ?19.56 lakh in cash,robbery,,
CR025,Srinagar (Sunday Market),hand grenade,day,"Terrorists hurled a hand grenade at Srinagar’s crowded Sunday Market (Lal Chowk), injuring 12 civilians",terrorism,,
CR026,Pahalgam (Anantnag),automatic rifles,day,"Gunmen opened fire with automatic rifles on a group of tourists in Pahalgam’s Baisaran meadows, killing 26 people and wounding others",terrorism,34.0144858,75.3285164
CR027,Reasi (Jammu division),firearms,day,"Armed militants ambushed a bus of Hindu pilgrims in Reasi, causing it to crash into a gorge; at least 9 were killed and 33 injured",terrorism,,
CR028,Lolab (Kupwara),motorcycle,day,A woman was abducted by a man on a motorcycle from a hospital in Lolab; she was later rescued in Rajasthan and the accused arrested,kidnapping,34.5013226,74.4052504
CR029,Srinagar (Cyber Police HQ),–,day,"J&K Cyber Police uncovered 7,200 fraudulent “mule” bank accounts used for cyber-fraud money laundering and arrested 21 suspects",cybercrime,,
CR030,Baramulla (Kunzer),–,day,Baramulla police cracked a rape case under POCSO: a mentally challenged 16-year-old girl was found 25 weeks pregnant from repeated assault; three were arrested,rape,,
CR031,Nishat (Srinagar outskirts),–,day,"A nomadic woman (40s) grazing goats near Nishat was tied up, brutally raped and beaten by four intoxicated men; she died en route to the hospital",murder,,
